X,Y,OBJECTID,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
-77.027500479540251,38.91697137307451,68,U Street/African-Amer Civil War Memorial/Cardozo,District of Columbia,District of Columbia,"Green, Yellow",1991, ,8033,https://www.wmata.com/rider-guide/stations/u-street.cfm?y=35
-77.007439273111359,38.897788958188301,69,Union Station,District of Columbia,District of Columbia,Red,1976, ,8018,https://www.wmata.com/rider-guide/stations/union-station.cfm?y=35
-76.988251657744868,38.845369246630177,70,Congress Heights,District of Columbia,District of Columbia,Green,2001, ,8041,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm?y=35
-76.956830549373578,38.851048879592391,71,Naylor Road,Maryland,Prince George's County,Green,2001,Y,8043,https://www.wmata.com/rider-guide/stations/naylor-rd.cfm?y=35
-76.932301776345753,38.844105293165477,72,Suitland,Maryland,Prince George's County,Green,2001,Y,8044,https://www.wmata.com/rider-guide/stations/suitland.cfm?y=35
-76.912229442562861,38.826935243743002,73,Branch Ave,Maryland,Prince George's County,Green,2001,Y,8045,https://www.wmata.com/rider-guide/stations/branch-ave.cfm?y=35
-77.05375605721764,38.814218644635183,74,Braddock Road,Virginia,Alexandria,"Blue, Yellow",1983, ,8051,https://www.wmata.com/rider-guide/stations/braddock-rd.cfm?y=35
-77.061021117558084,38.8066958654315,75,King St-Old Town,Virginia,Alexandria,"Blue, Yellow",1983, ,8050,https://www.wmata.com/rider-guide/stations/king-street.cfm?y=35
-77.071132934304984,38.800409410724178,76,Eisenhower Avenue,Virginia,Alexandria,Yellow,1983, ,8049,https://www.wmata.com/rider-guide/stations/eisenhower-ave.cfm?y=35
-77.075367934421308,38.793866569740459,77,Huntington,Virginia,Fairfax County,Yellow,1983,Y,8048,https://www.wmata.com/rider-guide/stations/huntington.cfm?y=35
-76.995525248497827,38.862939902735008,78,Anacostia,District of Columbia,District of Columbia,Green,1991,Y,8040,https://www.wmata.com/rider-guide/stations/anacostia.cfm?y=35
-76.99598392840818,38.884691204920315,79,Eastern Market,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977, ,8073,https://www.wmata.com/rider-guide/stations/eastern-market.cfm?y=35
-76.985499800906979,38.881356950035951,80,Potomac Ave,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977, ,8074,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm?y=35
