OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD
489,P0087,MD 5 - .20 Mile North of Fresh Pond Neck Rd (ATR#87),St Mary's County,4950249644,P0087_S,0,40,2,8,1,AM,77,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,9,,26,-76.36521549,38.10180314
490,B2011,N. MARKET ST-.20 MI E OF ROUTZAHN WAY,Frederick County,4204042482,B2011_W,2,869,7,50,6,AM,1161,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,56,,228,-77.3919362,39.44572657
491,405218,Aden Rd from 76-772 Marsteller Dr to 76-671 Colvin Lane,Prince William County,4095340137,405218_E,1,321,11,6,1,AM,409,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,69,-77.56474,38.70465
492,B1702,MD5-.50 MI N OF BRYANTOWN RD/OLIVERS SHOP RD,Charles County,4704147040,B1702_S,3,2074,19,162,22,AM,2861,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,184,,582,-76.85034559,38.55886612
493,B1989,MD180-.10 MI N OF IS70,Frederick County,4231942163,B1989_S,3,2352,27,74,10,AM,2732,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,84,,267,-77.43692213,39.39983875
494,B100017,S JEFFERSON ST -.10 MI N OF PROSPECT BLVD,Frederick County,4232142184,B100017_S,1,265,3,11,3,AM,337,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,,56,-77.427699,39.40830326
495,B100027,MOTTER AVE-.10 MI S OF 9TH ST (ONE WAY),Frederick County,4230042301,B100027_S,2,593,8,14,3,AM,678,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,17,,59,-77.41096921,39.42456698
496,B100067,PROSPECT RD-.10 MI N OF HERITAGE FARM RD,Frederick County,4246448008,B100067_S,1,263,8,10,2,AM,356,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,,75,-77.16532223,39.37984119
497,B1990,MD351-.10 MI S OF ELMER DERR RD,Frederick County,4203842039,B1990_S,1,47,4,4,2,AM,67,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,6,,9,-77.45232551,39.36567328
498,B1713,MD210-.50 MI S OF MD227,Charles County,4706947220,B1713_S,3,951,24,82,13,AM,1291,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,95,,220,-77.08137037,38.6236892
499,B2047,MD550-.10 MI S OF WASHINGTON CO/L,Frederick County,4211742394,B2047_S,0,125,4,10,1,AM,181,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,11,,43,-77.46644465,39.71846432
500,B1924,MD17-.10 MI S OF US40AL,Frederick County,4201042363,B1924_S,4,307,3,8,2,AM,456,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,133,-77.54557557,39.44237221
501,B100062,WOODVILLE RD-.10 MI S OF OLD ANNAPOLIS RD,Frederick County,4207042071,B100062_S,1,79,7,6,0,AM,127,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,6,,34,-77.18402791,39.39261322
502,B1764,MD227-.10 MI W OF MD229,Charles County,4706347065,B1764_W,0,470,27,50,3,AM,618,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,53,,70,-77.0177359,38.58718127
503,B1745,US301-.60 MI S OF MD6,Charles County,4703447032,B1745_S,3,1131,11,79,48,AM,1579,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,127,,308,-76.9817704,38.5226485
504,B100018,MOTTER AVE-.10 MI N OF 9TH ST,Frederick County,4254242300,B100018_S,1,89,0,4,1,AM,111,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,5,,17,-77.40990532,39.42730335
505,B100021,W. SOUTH ST-.10 MI W OF MD355 (ONE WAY),Frederick County,4230442247,B100021_E,4,1550,25,68,7,AM,1916,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,75,,264,-77.41337909,39.41082004
506,P0068,US 15 North of Basford Rd (ATR#68),Frederick County,4222942429,P0068_S,3,1448,30,116,87,AM,2040,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,203,P,357,-77.51050527,39.32938149
507,B150106,GERMANTOWN RD-.10 MI E OF MD355,Montgomery County,2285122454,B150106_W,1,981,1,20,2,AM,1113,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,110,-77.24081633,39.19270465
508,B2963,IS270Y-.40 MI S OF DEMOCRACY BLVD,Montgomery County,2274722896,B2963_S,39,12207,123,475,233,AM,14906,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,708,,1829,-77.14736807,39.01712299
