OBJECTID_1,Join_Count,nearest_metro_distance,TARGET_FID,OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD,X,Y,OBJECTID_12,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
498,1,0.167127145406304,498,498,B1713,MD210-.50 MI S OF MD227,Charles County,4706947220.000000000000000,B1713_S,3,951,24,82,13,AM,1291,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,95,,220,-77.081370370000002,38.623689200000001,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
499,1,0.670325975510028,499,499,B2047,MD550-.10 MI S OF WASHINGTON CO/L,Frederick County,4211742394.000000000000000,B2047_S,0,125,4,10,1,AM,181,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,11,,43,-77.466444650000000,39.718464320000002,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
500,1,0.499145628394832,500,500,B1924,MD17-.10 MI S OF US40AL,Frederick County,4201042363.000000000000000,B1924_S,4,307,3,8,2,AM,456,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,133,-77.545575569999997,39.442372210000002,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
501,1,0.273317144987365,501,501,B100062,WOODVILLE RD-.10 MI S OF OLD ANNAPOLIS RD,Frederick County,4207042071.000000000000000,B100062_S,1,79,7,6,0,AM,127,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,6,,34,-77.184027909999998,39.392613220000001,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
502,1,0.214569952647323,502,502,B1764,MD227-.10 MI W OF MD229,Charles County,4706347065.000000000000000,B1764_W,0,470,27,50,3,AM,618,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,53,,70,-77.017735900000005,38.587181270000002,-77.075367934421308,38.793866569740459,77,Huntington,Virginia,Fairfax County,Yellow,1983,Y,8048,https://www.wmata.com/rider-guide/stations/huntington.cfm?y=35
503,1,0.286914168115479,503,503,B1745,US301-.60 MI S OF MD6,Charles County,4703447032.000000000000000,B1745_S,3,1131,11,79,48,AM,1579,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,127,,308,-76.981770400000002,38.522648500000003,-77.075367934421308,38.793866569740459,77,Huntington,Virginia,Fairfax County,Yellow,1983,Y,8048,https://www.wmata.com/rider-guide/stations/huntington.cfm?y=35
504,1,0.393271815173712,504,504,B100018,MOTTER AVE-.10 MI N OF 9TH ST,Frederick County,4254242300.000000000000000,B100018_S,1,89,0,4,1,AM,111,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,5,,17,-77.409905319999993,39.427303350000003,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
505,1,0.382779995137028,505,505,B100021,W. SOUTH ST-.10 MI W OF MD355 (ONE WAY),Frederick County,4230442247.000000000000000,B100021_E,4,1550,25,68,7,AM,1916,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,75,,264,-77.413379090000006,39.410820039999997,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
506,1,0.404429134083847,506,506,P0068,US 15 North of Basford Rd (ATR#68),Frederick County,4222942429.000000000000000,P0068_S,3,1448,30,116,87,AM,2040,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,203,P,357,-77.510505269999996,39.329381490000003,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
507,1,0.105408834051437,507,507,B150106,GERMANTOWN RD-.10 MI E OF MD355,Montgomery County,2285122454.000000000000000,B150106_W,1,981,1,20,2,AM,1113,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,22,,110,-77.240816330000001,39.192704650000003,-77.164499396013696,39.119994624307324,37,Shady Grove,Maryland,Montgomery County,Red,1984,Y,8001,https://www.wmata.com/rider-guide/stations/shady-grove.cfm?y=35
